# Item reference — generated from item_db.json
# id	aegis_name	name	type	script	on_equip_script	on_unequip_script	notes
1101	Sword	Sword	IT_WEAPON				
1102	Sword_	Sword	IT_WEAPON				
1103	Sword__	Sword	IT_WEAPON				
1104	Falchion	Falchion	IT_WEAPON				
1105	Falchion_	Falchion	IT_WEAPON				
1106	Falchion__	Falchion	IT_WEAPON				
1107	Blade	Blade	IT_WEAPON				
1108	Blade_	Blade	IT_WEAPON				
1109	Blade__	Blade	IT_WEAPON				
1110	Lapier	Rapier	IT_WEAPON				
1111	Lapier_	Rapier	IT_WEAPON				
1112	Lapier__	Rapier	IT_WEAPON				
1113	Scimiter	Scimitar	IT_WEAPON				
1114	Scimiter_	Scimitar	IT_WEAPON				
1115	Scimiter__	Scimitar	IT_WEAPON				
1116	Katana	Katana	IT_WEAPON				
1117	Katana_	Katana	IT_WEAPON				
1118	Katana__	Katana	IT_WEAPON				
1119	Tsurugi	Tsurugi	IT_WEAPON				
1120	Tsurugi_	Tsurugi	IT_WEAPON				
1121	Tsurugi__	Tsurugi	IT_WEAPON				
1122	Ring_Pommel_Saber	Ring Pommel Saber	IT_WEAPON				
1123	Haedonggum	Haedonggum	IT_WEAPON	bonus bInt,3;			
1124	Orcish_Sword	Orcish Sword	IT_WEAPON	bonus bUnbreakableWeapon,0;			
1125	Ring_Pommel_Saber_	Ring Pommel Saber	IT_WEAPON				
1126	Saber	Saber	IT_WEAPON				
1127	Saber_	Saber	IT_WEAPON				
1128	Hae_Dong_Gum_	Haedonggum	IT_WEAPON	bonus bInt,3;			
1129	Flamberge	Flamberge	IT_WEAPON				
1130	Nagan	Nagan	IT_WEAPON	skill TF_DOUBLE,5;   bonus bDoubleRate,25;   bonus2 bAddRace,RC_DemiPlayer,5;			
1131	Ice_Falchon	Ice Falchion	IT_WEAPON	bonus bAtkEle,Ele_Water;   bonus2 bAddEff,Eff_Freeze,500;   bonus2 bAddEff2,Eff_Freeze,10;   skill MG_COLDBOLT,3;   bonus3 bAutoSpell,MG_COLDBOLT,3,100;			
1132	Edge	Edge	IT_WEAPON	bonus2 bAddEff,Eff_Curse,30;   bonus2 bWeaponComaRace,RC_NonBoss,10;			
1133	Fire_Brand	Fireblend	IT_WEAPON	bonus bAtkEle,Ele_Fire;   skill MG_FIREBOLT,3;   bonus3 bAutoSpell,MG_FIREBOLT,3,100;			
1134	Scissores_Sword	Caesar's Sword	IT_WEAPON	bonus2 bAddRace,RC_Plant,25;   bonus bIgnoreDefRace,RC_Plant;			
1135	Cutlas	Cutlus	IT_WEAPON	skill SM_BASH,5;   bonus bStr,2;   bonus bDef,1;			
1136	Solar_Sword	Solar Sword	IT_WEAPON	bonus bAtkEle,Ele_Fire;   bonus2 bHPDrainRate,1000,1;   bonus2 bSPLossRate,15,10000;			
1137	Excalibur	Excalibur	IT_WEAPON	bonus bInt,5;   bonus bLuk,10;   bonus bDex,-1;   bonus bAtkEle,Ele_Holy;			
