# Job reference — generated from job_db.json
# id	name	notes
0	Novice	
1	Swordsman	
2	Magician	
3	Archer	
4	Acolyte	
5	Merchant	
6	Thief	
7	Knight	
8	Priest	
9	Wizard	
10	Blacksmith	
11	Hunter	
12	Assassin	
14	Crusader	
15	Monk	
16	Sage	
17	Rogue	
18	Alchemist	
19	Bard	
20	Dancer	
23	Super_Novice	
24	Gunslinger	
25	Ninja	
4008	Lord_Knight	
4009	High_Priest	
4010	High_Wizard	
4011	Whitesmith	
4012	Sniper	
4013	Assassin_Cross	
4015	Paladin	
4016	Champion	
4017	Professor	
4018	Stalker	
4019	Creator	
4020	Clown	
4021	Gypsy	
