# Job → Skill ID map — generated from skill_tree.json + skills.json
# job_id	skill_id	skill_constant
0	681	ALL_INCCARRY
0	1	NV_BASIC
0	142	NV_FIRSTAID
0	143	NV_TRICKDEAD
0	408	WE_BABY
0	410	WE_CALLBABY
0	409	WE_CALLPARENT
1	681	ALL_INCCARRY
1	1	NV_BASIC
1	142	NV_FIRSTAID
1	143	NV_TRICKDEAD
1	146	SM_AUTOBERSERK
1	5	SM_BASH
1	8	SM_ENDURE
1	145	SM_FATALBLOW
1	7	SM_MAGNUM
1	144	SM_MOVINGRECOVERY
1	6	SM_PROVOKE
1	4	SM_RECOVERY
1	2	SM_SWORD
1	3	SM_TWOHAND
1	408	WE_BABY
1	410	WE_CALLBABY
1	409	WE_CALLPARENT
2	681	ALL_INCCARRY
2	14	MG_COLDBOLT
2	157	MG_ENERGYCOAT
2	17	MG_FIREBALL
2	19	MG_FIREBOLT
2	18	MG_FIREWALL
2	15	MG_FROSTDIVER
2	20	MG_LIGHTNINGBOLT
2	11	MG_NAPALMBEAT
2	12	MG_SAFETYWALL
2	10	MG_SIGHT
2	13	MG_SOULSTRIKE
2	9	MG_SRECOVERY
2	16	MG_STONECURSE
2	21	MG_THUNDERSTORM
2	1	NV_BASIC
2	142	NV_FIRSTAID
2	143	NV_TRICKDEAD
2	408	WE_BABY
2	410	WE_CALLBABY
2	409	WE_CALLPARENT
3	148	AC_CHARGEARROW
3	45	AC_CONCENTRATION
3	46	AC_DOUBLE
3	147	AC_MAKINGARROW
3	43	AC_OWL
3	47	AC_SHOWER
3	44	AC_VULTURE
3	681	ALL_INCCARRY
3	1	NV_BASIC
3	142	NV_FIRSTAID
3	143	NV_TRICKDEAD
3	408	WE_BABY
3	410	WE_CALLBABY
3	409	WE_CALLPARENT
4	681	ALL_INCCARRY
4	33	AL_ANGELUS
4	34	AL_BLESSING
4	32	AL_CRUCIS
4	35	AL_CURE
4	30	AL_DECAGI
4	23	AL_DEMONBANE
4	22	AL_DP
4	28	AL_HEAL
4	156	AL_HOLYLIGHT
4	31	AL_HOLYWATER
4	29	AL_INCAGI
4	25	AL_PNEUMA
4	24	AL_RUWACH
4	26	AL_TELEPORT
4	27	AL_WARP
4	1	NV_BASIC
4	142	NV_FIRSTAID
4	143	NV_TRICKDEAD
4	408	WE_BABY
4	410	WE_CALLBABY
4	409	WE_CALLPARENT
5	2535	ALL_BUYING_STORE
5	681	ALL_INCCARRY
5	2544	MC_CARTDECORATE
5	153	MC_CARTREVOLUTION
5	154	MC_CHANGECART
5	37	MC_DISCOUNT
5	40	MC_IDENTIFY
