# Skill reference — generated from skills.json + skills_by_job.md
# id	constant	description	category	notes
1	NV_BASIC	Basic Skill	X	Not relevant
2	SM_SWORD	Sword Mastery	P	
3	SM_TWOHAND	Two-Handed Sword Mastery	P	
4	SM_RECOVERY	Increase HP Recovery	P	
5	SM_BASH	Bash	O, S	Status only via SM_FATALBLOW (145) on Bash lv 6+
6	SM_PROVOKE	Provoke	B, D	Cannot be used on allies; treat as debuff unless applied by item
7	SM_MAGNUM	Magnum Break	B, O	Fire element for 10 hits
8	SM_ENDURE	Endure	B	
9	MG_SRECOVERY	Increase SP Recovery	P	
10	MG_SIGHT	Sight	X	Must be active for WZ_SIGHTRASHER (81)
11	MG_NAPALMBEAT	Napalm Beat	O	
12	MG_SAFETYWALL	Safety Wall	X	Prevents melee hits; advanced combat modelling
13	MG_SOULSTRIKE	Soul Strike	O	
14	MG_COLDBOLT	Cold Bolt	O	
15	MG_FROSTDIVER	Frost Diver	O, S	
16	MG_STONECURSE	Stone Curse	S	
17	MG_FIREBALL	Fire Ball	O	
18	MG_FIREWALL	Fire Wall	O	Requires target to walk into cells; advanced modelling
19	MG_FIREBOLT	Fire Bolt	O	
20	MG_LIGHTNINGBOLT	Lightning Bolt	O	
21	MG_THUNDERSTORM	Thunderstorm	O	
22	AL_DP	Divine Protection	P	
23	AL_DEMONBANE	Demon Bane	P	
24	AL_RUWACH	Ruwach	O	Requires target to be hiding or cloaked
25	AL_PNEUMA	Pneuma	X	Blocks all ranged hits for duration; advanced modelling
26	AL_TELEPORT	Teleport	X	No effect in calculator
27	AL_WARP	Warp Portal	X	No effect in calculator
28	AL_HEAL	Heal	H, O	Offensive vs Undead attribute
29	AL_INCAGI	Increase AGI	B	
30	AL_DECAGI	Decrease AGI	D	
31	AL_HOLYWATER	Aqua Benedicta	X	Creates item
32	AL_CRUCIS	Signum Crucis	D	Ground-based
33	AL_ANGELUS	Angelus	B	
34	AL_BLESSING	Blessing	B	Different effect on self vs party members
35	AL_CURE	Cure	X	Removes some statuses
36	MC_INCCARRY	Enlarge Weight Limit	P	Only useful for weight capacity modelling
37	MC_DISCOUNT	Discount	P	Not relevant
38	MC_OVERCHARGE	Overcharge	P	Not relevant
39	MC_PUSHCART	Pushcart	P	Only useful for movement speed modelling
40	MC_IDENTIFY	Item Appraisal	X	Not relevant
41	MC_VENDING	Vending	X	Not relevant
42	MC_MAMMONITE	Mammonite	O	
43	AC_OWL	Owl's Eye	P	
44	AC_VULTURE	Vulture's Eye	P	
45	AC_CONCENTRATION	Improve Concentration	B	
46	AC_DOUBLE	Double Strafe	O	
47	AC_SHOWER	Arrow Shower	O	
48	TF_DOUBLE	Double Attack	P	
49	TF_MISS	Improve Dodge	P	
50	TF_STEAL	Steal	X	Maybe add steal chance calculator as advanced feature
51	TF_HIDING	Hiding	X	Hide status relevant for RG_RAID (214); advanced modelling
52	TF_POISON	Envenom	O, S	
